IE_XML_ID;IE_NAME;IE_CODE;IC_GROUP0
15243;Icom: обзор новых портативных радиостанций;icom-obzor-novykh-portativnykh-radiostantsiy;Обзоры товаров
13373;Линейка Motorola MOTOTRBO;lineyka-motorola-mototrbo;Обзоры товаров
11764;Обзор IP-АТС Yeastar S-серии;obzor-ip-ats-yeastar-s-serii;Обзоры товаров
10275;Обзор автомобильных радиостанций ICOM;obzor-avtomobilnykh-radiostantsiy-icom;Обзоры товаров
14932;Hytera — качественная радиосвязь для профессионалов;hytera-kachestvennaya-radiosvyaz-dlya-professionalov;Обзоры товаров
14933;Snom D385 - немецкий IP телефон для крутого офиса;snom-d385-nemetskiy-ip-telefon-dlya-krutogo-ofisa;Обзоры товаров
14937;Snom DECT облегчает работу в любых организациях;snom-dect-oblegchaet-rabotu-v-lyubykh-organizatsiyakh;Обзоры товаров
14868;Кenwood: обзор портативных и автомобильных раций;kenwood-obzor-portativnykh-i-avtomobilnykh-ratsiy;Обзоры товаров
14794;Grandstream: IP-телефония для бизнеса;grandstream-ip-telefoniya-dlya-biznesa;Обзоры товаров
11268;Строительные рации для связи в условиях стройки;stroitelnye-ratsii-dlya-svyazi-v-usloviyakh-stroyki;Обзоры товаров
13987;Обзор бренда и новинок Snom;obzor-brenda-i-novinok-snom;Обзоры товаров
14290;Обзор новой портативной радиостанции Motorola MTP6650;obzor-novoy-portativnoy-radiostantsii-motorola-mtp6650;Обзоры товаров
13877;Обзор новых радиостанций Icom;obzor-novykh-radiostantsiy-icom;Обзоры товаров
13889;Краткий обзор преимуществ сетевого оборудования MikroTik;kratkiy-obzor-preimushchestv-setevogo-oborudovaniya-mikrotik-;Обзоры товаров
13774;Обзор новой портативной радиостанции Motorola ST7500;obzor-novoy-portativnoy-radiostantsii-motorola-st7500-;Обзоры товаров
9493;Обзор портативных радиостанций Vector (Вектор);obzor-portativnykh-radiostantsiy-vector-vektor;Обзоры товаров
11201;Мобильный коммуникатор Wave от Motorola Solutions;mobilnyy-kommunikator-wave-ot-motorola-solutions;Обзоры товаров
11031;Panasonic KX-NSX: надежная и гибкая UC-платформа;panasonic-kx-nsx-nadezhnaya-i-gibkaya-uc-platforma;Обзоры товаров
10963;Обзор IP-АТС Panasonic KX-NCP1000RU  и KX-NCP500RU;obzor-ip-ats-panasonic-kx-ncp1000ru-i-kx-ncp500ru-;Обзоры товаров
11028;Обзор SIP DECT телефона Panasonic KX-TGP600;obzor-sip-dect-telefona-panasonic-kx-tgp600-;Обзоры товаров
10935;Выбираем подходящий ip-телефон среди представителей Panasonic и Yealink;vybiraem-podkhodyashchiy-ip-telefon-sredi-predstaviteley-panasonic-i-yealink;Обзоры товаров
11463;Кто на новенького: обзор IP-телефонов и IP-АТС;kto-na-novenkogo-obzor-ip-telefonov-i-ip-ats;Обзоры товаров
11435;Незаметная связь: портативные радиостанции и скрытые гарнитуры;nezametnaya-svyaz-portativnye-radiostantsii-i-skrytye-garnitury;Обзоры товаров
11449;Молодым дорогу: обзор новых портативных раций на сайте;molodym-dorogu-obzor-novykh-portativnykh-ratsiy-na-sayte;Обзоры товаров
10743;Обзор радиостанций MotoTRBO;obzor-radiostantsiy-mototrbo;Обзоры товаров
10467;Промышленные телефоны ТАШ - надежная связь в любых условиях;promyshlennye-telefony-tash-nadezhnaya-svyaz-v-lyubykh-usloviyakh;Обзоры товаров
10460;Обзор автомобильных радиостанций Vertex Standard;obzor-avtomobilnykh-radiostantsiy-vertex-standard;Обзоры товаров
10267;Рации TurboSky - новинка отечественного рынка;ratsii-turbosky-novinka-otechestvennogo-rynka;Обзоры товаров
10247;Обзор раций Kenwood;obzor-ratsiy-kenwood;Обзоры товаров
9833;5 достоинств профессиональных портативных радиостанций КОМБАТ;5-dostoinstv-professionalnykh-portativnykh-radiostantsiy-kombat;Обзоры товаров
9966;Обзор взрывозащищенных радиостанций Hytera PD795Ex, Motorola DP4401 Ex и Kenwood NX-230EXE;obzor-vzryvozashchishchennykh-radiostantsiy-hytera-pd795ex-motorola-dp4401-ex-i-kenwood-nx-230exe;Обзоры товаров
9979;Обзор VoIP телефонов Snom серии 7x;obzor-voip-telefonov-snom-serii-7x;Обзоры товаров
9990;Первый взгляд на DECT телефон Gigaset A54OH;pervyy-vzglyad-na-dect-telefon-gigaset-a54oh;Обзоры товаров
10117;Обзор портативных раций Icom;obzor-portativnykh-ratsiy-icom-;Обзоры товаров
10171;Обзор радиостанции Vertex VZ-30;obzor-radiostantsii-vertex-vz-30;Обзоры товаров
10183;Обзор новых портативных раций КОМБАТ T-34;obzor-novykh-portativnykh-ratsiy-kombat-t-34;Обзоры товаров
10244;AVAYA – коммуникационные решения нового уровня;avaya-kommunikatsionnye-resheniya-novogo-urovnya;Обзоры товаров
10246;Обзор телефонов Panasonic;obzor-telefonov-panasonic-;Обзоры товаров
9738;Автомобильные Си-Би радиостанции;avtomobilnye-si-bi-radiostantsii;Обзоры товаров
9735;Обзор портативных раций Vertex Standard;obzor-portativnykh-ratsiy-vertex-standard;Обзоры товаров
9660;Megajet 350 vs Yosan Excalibur – обзор Си-Би радиостанций;megajet-350-vs-yosan-excalibur-obzor-si-bi-radiostantsiy;Обзоры товаров
9650;Обзор IP-телефона DECT Yealink SIP-W52P;obzor-ip-telefona-dect-yealink-sip-w52p;Обзоры товаров
9659;IP-телефония на примере SIP-телефона от Yealink;ip-telefoniya-na-primere-sip-telefona-ot-yealink;Обзоры товаров
9491;IP-телефоны – выбор связи для Вашего бизнеса;ip-telefony-vybor-svyazi-dlya-vashego-biznesa;Обзоры товаров
10480;Обзор факсов Panasonic и факс-серверов Yeastar: виды, особенности, как выбрать и купить факс;obzor-faksov-panasonic-i-faks-serverov-yeastar-vidy-osobennosti-kak-vybrat-i-kupit-faks;Обзоры товаров
10800;Разбираем стандарт DMR на примере радиостанций Hytera;razbiraem-standart-dmr-na-primere-radiostantsiy-hytera;Обзоры товаров
10933;Радиостанции Icom как образец качества японского производства;radiostantsii-icom-kak-obrazets-kachestva-yaponskogo-proizvodstva;Обзоры товаров
10780;Обзор любительских КВ трансиверов;obzor-lyubitelskikh-kv-transiverov;Обзоры товаров
10541;Обзор раций Hytera;obzor-ratsiy-hytera;Обзоры товаров
7186;IP-телефоны Panasonic и Escene: сравнение;ip-telefony-panasonic-i-escene-sravnenie;Обзоры товаров
7390;VoIP-шлюзы Yeastar NeoGate: TA400, TA410 и TA810;voip-shlyuzy-yeastar-neogate-ta400-ta410-i-ta810;Обзоры товаров
7817;SIP телефоны Yealink: обзор линеек T3 и T4;sip-telefony-yealink-obzor-lineek-t3-i-t4;Обзоры товаров
7839;Обзор портативных радиостанций Kenwood;obzor-portativnykh-radiostantsiy-kenwood;Обзоры товаров
7845;IP телефоны Grandstream для малого бизнеса: обзор;ip-telefony-grandstream-dlya-malogo-biznesa-obzor;Обзоры товаров
7954;Цифровые радиостанции eVerge™ от Vertex Standard;tsifrovye-radiostantsii-everge-ot-vertex-standard;Обзоры товаров
8161;Рынок SIP-телефонов в России;rynok-sip-telefonov-v-rossii;Обзоры товаров
8173;Как выбрать портативные рации для охоты и рыбалки;kak-vybrat-portativnye-ratsii-dlya-okhoty-i-rybalki;Обзоры товаров
8364;SIP-телефоны Yealink T4: обзор серии;sip-telefony-yealink-t4-obzor-serii;Обзоры товаров
8365;SIP-телефоны Escene;sip-telefony-escene;Обзоры товаров
8380;Обзор SIP-телефона Fanvil X5;obzor-sip-telefona-fanvil-x5;Обзоры товаров
8416;Обзор IP-АТС Atcom;obzor-ip-ats-atcom;Обзоры товаров
4757;Обзор IP-АТС от Yeastar;obzor-ip-ats-ot-yeastar;Обзоры товаров
4044;Обзор IP-телефона Escene ES292;obzor-ip-telefona-escene-es292;Обзоры товаров
4083;Таблица совместимости для гарнитур Mairdi;tablitsa-sovmestimosti-dlya-garnitur-mairdi;Обзоры товаров
9473;Рации VERTEX: сравнение характеристик;ratsii-vertex-sravnenie-kharakteristik;Обзоры товаров
9264;Обзор автомобильной радиостанции MegaJet MJ-600 PLUS;obzor-avtomobilnoy-radiostantsii-megajet-mj-600-plus;Обзоры товаров
9304;Обзор автомобильных Си-Би раций Megajet;obzor-avtomobilnykh-si-bi-ratsiy-megajet;Обзоры товаров
9375;Обзор портативных радиостанций для охоты, рыбалки и другого активного отдыха;obzor-portativnykh-radiostantsiy-dlya-okhoty-rybalki-i-drugogo-aktivnogo-otdykha;Обзоры товаров
9143;Радиостанции Megajet: особенности и разнообразие;radiostantsii-megajet-osobennosti-i-raznoobrazie;Обзоры товаров
9172;Как выбрать автомобильную рацию;kak-vybrat-avtomobilnuyu-ratsiyu;Обзоры товаров
4821;Grandstream расширяет линейку IP-видеотелефонов;grandstream-rasshiryaet-lineyku-ip-videotelefonov;Обзоры товаров
5339;Обеспечение телефонной связью удаленных подвижных объектов;obespechenie-telefonnoy-svyazyu-udalennykh-podvizhnykh-obektov-;Обзоры товаров
